src1_x,src1_y,src1_z,src2_x,src2_y,src2_z,rlt_x,rlt_y,rlt_z
-2.33619,0.0199291,-0.022154,-2.35007,0.0213088,-0.0202364,-2.34617,0.0213788,-0.0210742
-2.33543,0.0223419,-0.022877,-2.35006,0.0212966,-0.0202271,-2.34595,0.0213861,-0.0211011
-2.31332,0.0182669,-0.0212186,-2.35005,0.0212951,-0.0202177,-2.34529,0.0213223,-0.0210943
-2.3479,0.0249182,-0.0213269,-2.35005,0.0212829,-0.0202617,-2.34534,0.0213822,-0.021142
-2.34863,0.0189314,-0.0213932,-2.35002,0.021292,-0.0202524,-2.34538,0.0213422,-0.0211379
-2.29786,0.0228752,-0.0217181,-2.35002,0.0212905,-0.0202538,-2.34443,0.0213713,-0.0211509
-2.37598,0.0232114,-0.0239937,-2.35001,0.0212783,-0.0202872,-2.34505,0.0213962,-0.0212405
-2.32799,0.0233975,-0.024178,-2.35,0.0212661,-0.0202885,-2.3447,0.0214242,-0.0213006
-2.35701,0.021222,-0.0222453,-2.34999,0.0212752,-0.0202899,-2.34494,0.0214292,-0.0213208
-2.27701,0.022617,-0.0212186,-2.35,0.0212737,-0.0203127,-2.34359,0.0214514,-0.0213411
-2.40408,0.0189859,-0.0224226,-2.35001,0.0212722,-0.0203354,-2.3448,0.0214006,-0.021385
-2.33757,0.0221662,-0.0197975,-2.35001,0.0212813,-0.0203474,-2.34466,0.0214249,-0.021365
-2.37143,0.0221119,-0.0214397,-2.35001,0.0212798,-0.0203276,-2.3452,0.0214371,-0.0213471
-2.35647,0.0193024,-0.0222668,-2.35001,0.021289,-0.0203503,-2.34542,0.0214034,-0.0213878
-2.36024,0.0231344,-0.0207649,-2.35001,0.0212981,-0.0203517,-2.34572,0.021447,-0.0213767
-2.34951,0.0226271,-0.0229213,-2.35,0.0212966,-0.0203745,-2.34579,0.0214691,-0.0214298
-2.35824,0.0231401,-0.0205276,-2.35,0.0213058,-0.0203865,-2.34604,0.0215115,-0.0214236
-2.34971,0.021269,-0.0210786,-2.34999,0.0212935,-0.0203986,-2.3461,0.0214947,-0.0214285
-2.2847,0.0233994,-0.0205426,-2.35002,0.021292,-0.0204213,-2.3449,0.0215313,-0.0214331
-2.30548,0.0231008,-0.0209767,-2.35003,0.0212905,-0.020444,-2.34412,0.0215612,-0.0214462
-2.36899,0.01709,-0.0229546,-2.35003,0.0212783,-0.0204774,-2.34462,0.0214598,-0.0215091
-2.34374,0.0214021,-0.0224226,-2.35002,0.0212768,-0.0204788,-2.34459,0.0214571,-0.0215288
-2.36749,0.0214347,-0.0190661,-2.35,0.0212752,-0.0205016,-2.34503,0.0214552,-0.0215018
-2.33564,0.0187486,-0.022428,-2.34997,0.0212844,-0.0205136,-2.34481,0.02141,-0.0215321
-2.38275,0.0229128,-0.0239355,-2.34996,0.0212722,-0.020547,-2.34556,0.0214281,-0.0216129
-2.35097,0.0229199,-0.0210326,-2.34996,0.0212707,-0.0205804,-2.34567,0.0214565,-0.0216341
-2.32071,0.0257837,-0.0214813,-2.34995,0.0212798,-0.0206458,-2.34516,0.021552,-0.021695
-2.30564,0.0226543,-0.0231913,-2.34996,0.0212676,-0.0206578,-2.34437,0.0215621,-0.0217368
-2.31697,0.0236765,-0.0198455,-2.34996,0.0212554,-0.0206699,-2.34383,0.0215924,-0.0217107
-2.35174,0.0225253,-0.019206,-2.34995,0.0212432,-0.02065,-2.34398,0.0215991,-0.0216412
-2.37553,0.0194323,-0.0214139,-2.34995,0.0212523,-0.0206621,-2.34461,0.0215647,-0.0216485
-2.35006,0.0245258,-0.021923,-2.34993,0.0212296,-0.0206741,-2.3447,0.0216017,-0.0216658
-2.34937,0.0197497,-0.0217391,-2.34993,0.0212281,-0.0206862,-2.34479,0.0215631,-0.0216791
-2.34619,0.020162,-0.0192477,-2.34993,0.0212053,-0.0207089,-2.34482,0.0215128,-0.0216527
-2.37021,0.0216541,-0.0229157,-2.34991,0.0212252,-0.020721,-2.34531,0.0215351,-0.0216898
-2.32061,0.0224242,-0.02078,-2.34992,0.0212237,-0.020733,-2.34483,0.0215514,-0.0216834
-2.33853,0.0257946,-0.0241545,-2.34991,0.0212328,-0.0207451,-2.34469,0.0216452,-0.0217446
-2.27932,0.0201807,-0.0211981,-2.34993,0.0212101,-0.0207678,-2.3434,0.0215937,-0.021756
-2.33721,0.0223543,-0.019508,-2.34992,0.0212192,-0.020748,-2.34327,0.0216178,-0.0216916
-2.31476,0.0219177,-0.0219708,-2.34993,0.0212177,-0.0207707,-2.34271,0.0216223,-0.0217195
-2.35722,0.0233255,-0.0212032,-2.34991,0.0212162,-0.0207614,-2.34298,0.0216549,-0.0217
-2.29699,0.0243079,-0.0217023,-2.34991,0.021236,-0.0207948,-2.34206,0.0217274,-0.0217328
-2.30504,0.0189768,-0.02217,-2.34991,0.0212238,-0.0207962,-2.34132,0.0216604,-0.0217429
-2.32904,0.0223489,-0.0195032,-2.3499,0.0212223,-0.0208083,-2.34107,0.0216727,-0.0217099
-2.32803,0.0213617,-0.0204484,-2.34989,0.0212208,-0.020831,-2.3408,0.021665,-0.021707
-2.37884,0.0256353,-0.020635,-2.34988,0.0212299,-0.020843,-2.34155,0.0217534,-0.0216973
-2.36866,0.0224242,-0.02078,-2.34989,0.0212284,-0.0208551,-2.34209,0.0217653,-0.0216908
-2.40344,0.0248578,-0.0212752,-2.34988,0.0212269,-0.0208885,-2.34331,0.0218257,-0.0217152
-2.313,0.0208795,-0.0231018,-2.34987,0.0212147,-0.0209006,-2.34269,0.0217948,-0.0217548
-2.38658,0.0190265,-0.0241662,-2.34987,0.0211919,-0.0209126,-2.34357,0.0217171,-0.0218148
-2.36758,0.023313,-0.0236072,-2.34987,0.0212011,-0.020914,-2.34405,0.021758,-0.021852
-2.29745,0.0232581,-0.0211419,-2.34987,0.0212102,-0.0209154,-2.34312,0.021797,-0.0218392
-2.38065,0.020478,-0.018106,-2.34988,0.0212087,-0.0209061,-2.34389,0.0217691,-0.0217554
-2.37395,0.0217337,-0.021301,-2.34987,0.0212072,-0.0209288,-2.34448,0.0217669,-0.0217686
-2.38321,0.0240948,-0.0224551,-2.34988,0.0212057,-0.0209409,-2.34525,0.021812,-0.0217941
-2.34704,0.018515,-0.0241312,-2.34987,0.0212041,-0.0209422,-2.34528,0.0217445,-0.0218422
-2.35219,0.0206796,-0.0195221,-2.34987,0.0212026,-0.020965,-2.34542,0.0217217,-0.0218181
-2.39586,0.0199049,-0.0223685,-2.34988,0.0212011,-0.020977,-2.34644,0.0216839,-0.0218409
-2.35072,0.0227691,-0.0242675,-2.34989,0.0211996,-0.0209784,-2.34654,0.0217041,-0.0218908
-2.35737,0.01946,-0.0226534,-2.34989,0.0211873,-0.0209691,-2.34676,0.0216473,-0.0218969
-2.30865,0.0206491,-0.0209413,-2.3499,0.0211751,-0.0209918,-2.346,0.0216153,-0.0219001
-2.33606,0.021202,-0.0210122,-2.34989,0.0211629,-0.0210039,-2.34579,0.0215951,-0.0218941
-2.32709,0.0230144,-0.0261995,-2.34988,0.0211507,-0.0210373,-2.34541,0.0216115,-0.022013
-2.3855,0.0223635,-0.0228991,-2.34986,0.0211706,-0.0210387,-2.34619,0.021646,-0.0220321
-2.34473,0.0217066,-0.0229713,-2.34987,0.021169,-0.0210614,-2.34617,0.0216457,-0.0220731
-2.32715,0.0204067,-0.023113,-2.34987,0.0211463,-0.0210735,-2.34579,0.0215987,-0.0221057
-2.34679,0.020413,-0.0199816,-2.34987,0.0211555,-0.0210962,-2.34581,0.0215839,-0.0220855
-2.38287,0.0219457,-0.0186042,-2.34985,0.0211327,-0.0211189,-2.34653,0.0215689,-0.0220382
-2.34621,0.0243067,-0.0238776,-2.34984,0.0211205,-0.0211096,-2.34652,0.0216117,-0.0220659
-2.3096,0.0228359,-0.022888,-2.34983,0.0211083,-0.0211003,-2.34577,0.0216242,-0.0220732
-2.30404,0.0192142,-0.0214397,-2.34982,0.0211068,-0.021123,-2.34493,0.0215745,-0.0220828
-2.34664,0.0233944,-0.0190846,-2.34983,0.0211052,-0.0211351,-2.34496,0.0216094,-0.0220346
-2.36906,0.0184802,-0.0219124,-2.34982,0.0211144,-0.0211365,-2.34544,0.0215558,-0.0220335
-2.34552,0.0211465,-0.0190246,-2.34981,0.0211022,-0.0211592,-2.34543,0.0215356,-0.0219956
-2.37898,0.0185345,-0.0202804,-2.3498,0.0211114,-0.0211606,-2.34609,0.0214846,-0.0219627
-2.31646,0.021671,-0.0205128,-2.34979,0.0210991,-0.0211726,-2.34549,0.0214764,-0.0219455
-2.28175,0.0236203,-0.0173763,-2.34979,0.0211083,-0.021174,-2.34422,0.0215282,-0.0218555
-2.40388,0.0226451,-0.0195505,-2.34978,0.0211068,-0.0211754,-2.3454,0.021549,-0.0218107
-2.28802,0.0215871,-0.0211572,-2.34977,0.0211159,-0.0211874,-2.34424,0.0215588,-0.0218095
-2.30751,0.0228152,-0.0202119,-2.34975,0.0211144,-0.0212102,-2.34349,0.0215824,-0.0217998
-2.31888,0.0182855,-0.0188193,-2.34974,0.0211236,-0.0212115,-2.34299,0.0215255,-0.0217415
-2.38355,0.0235161,-0.0211572,-2.34973,0.0211113,-0.021245,-2.34379,0.0215533,-0.0217626
-2.37785,0.0194835,-0.0226808,-2.34971,0.0211205,-0.0212463,-2.34445,0.0215209,-0.0217823
-2.37295,0.0192094,-0.0216761,-2.34971,0.0210978,-0.0212691,-2.34502,0.0214524,-0.0218024
-2.32821,0.0200024,-0.0200543,-2.3497,0.0210962,-0.0212704,-2.34468,0.0214219,-0.0217688
-2.31664,0.0240666,-0.0207348,-2.34968,0.0211054,-0.0212825,-2.3441,0.0214837,-0.02176
-2.32835,0.0236817,-0.0210632,-2.34967,0.0211146,-0.0213052,-2.34377,0.0215367,-0.0217683
-2.35167,0.0250151,-0.0216866,-2.34967,0.0211023,-0.0212959,-2.34392,0.0215943,-0.0217576
-2.36858,0.0228585,-0.0219442,-2.34967,0.0211008,-0.0212973,-2.34442,0.0216181,-0.0217626
-2.32935,0.0228152,-0.0202119,-2.34965,0.0210993,-0.0213094,-2.3441,0.0216405,-0.0217434
-2.38765,0.0233872,-0.0222291,-2.34963,0.0211191,-0.0213107,-2.34495,0.0216949,-0.0217545
-2.29741,0.0219179,-0.0214864,-2.34963,0.0211069,-0.0213335,-2.344,0.0216874,-0.0217714
-2.37083,0.0214074,-0.0221861,-2.34963,0.0211054,-0.0213348,-2.34454,0.0216803,-0.0217811
-2.37957,0.0224185,-0.0212597,-2.34963,0.0210932,-0.0213469,-2.34524,0.0216831,-0.0217824
-2.36657,0.0230227,-0.021147,-2.34964,0.021081,-0.0213589,-2.34568,0.0216979,-0.0217815
-2.34438,0.0234597,-0.0208657,-2.34963,0.0210688,-0.0213603,-2.34564,0.0217212,-0.0217646
-2.30557,0.0209003,-0.0216761,-2.34962,0.0210672,-0.0213617,-2.34483,0.0217033,-0.0217641
-2.35576,0.0204467,-0.0219495,-2.34963,0.0210657,-0.0213631,-2.34505,0.0216767,-0.0217692
-2.34221,0.0238488,-0.0188193,-2.34962,0.0210856,-0.0213858,-2.34498,0.0217395,-0.0217325
-2.34302,0.0223552,-0.0173344,-2.34962,0.021084,-0.021366,-2.34495,0.0217504,-0.0216251
-2.29641,0.0216237,-0.0209513,-2.34961,0.0210718,-0.0213567,-2.34397,0.0217359,-0.0216025
-2.30655,0.0185257,-0.0197879,-2.34962,0.0211023,-0.0213794,-2.34323,0.0217016,-0.0215885
-2.38262,0.0214709,-0.0195837,-2.34961,0.0211222,-0.0214021,-2.34401,0.0217164,-0.0215707
-2.37898,0.0212377,-0.0217761,-2.34959,0.021142,-0.0214035,-2.34469,0.0217263,-0.0215761
-2.41005,0.0216859,-0.0222237,-2.3496,0.0211512,-0.0214262,-2.34601,0.0217344,-0.0216113
-2.37168,0.0220426,-0.0216135,-2.34959,0.021139,-0.021449,-2.34651,0.0217286,-0.0216337
-2.41057,0.0202045,-0.0226753,-2.34959,0.0211481,-0.0214503,-2.34778,0.0217071,-0.0216558
-2.3411,0.0216335,-0.0224117,-2.34961,0.0211573,-0.0214517,-2.34767,0.0217146,-0.0216723
-2.33595,0.0214441,-0.0212545,-2.34961,0.0211558,-0.0214745,-2.34744,0.0217077,-0.0216862
-2.3083,0.0252083,-0.0211623,-2.34959,0.0211542,-0.0214972,-2.34664,0.0217762,-0.021698
-2.37111,0.0175381,-0.0183129,-2.34958,0.0211527,-0.0215199,-2.34712,0.02169,-0.0216526
-2.30873,0.022353,-0.0224063,-2.34958,0.0211725,-0.0215001,-2.34635,0.0217227,-0.0216483
-2.32934,0.0192297,-0.0171051,-2.34959,0.021171,-0.0214802,-2.34602,0.0216713,-0.0215379
-2.40016,0.0206743,-0.0202412,-2.3496,0.0211908,-0.0214816,-2.34711,0.0216708,-0.0215134
-2.38088,0.0209499,-0.0236644,-2.34961,0.0211786,-0.0215256,-2.3478,0.0216444,-0.0215994
-2.35897,0.0201855,-0.0214449,-2.34959,0.0211559,-0.0215376,-2.348,0.021593,-0.0216082
-2.43943,0.0256797,-0.0182599,-2.34958,0.0211651,-0.0215497,-2.34982,0.0216837,-0.021553
-2.42208,0.0265204,-0.0224606,-2.34956,0.0211529,-0.0215404,-2.35124,0.0217684,-0.021562
-2.29633,0.035182,-0.0178335,-2.34953,0.0211513,-0.0215631,-2.35012,0.0220352,-0.0215098
-2.37115,0.061498,-0.01536,-2.34954,0.0211605,-0.0216284,-2.35055,0.0228335,-0.0214508
-2.41837,0.0458101,-0.0125808,-2.3495,0.0211483,-0.0216405,-2.35186,0.023281,-0.0212852
-2.3216,-0.0013251,-0.0152586,-2.34954,0.0211788,-0.0218123,-2.3513,0.0228188,-0.021333
-2.28463,-0.0238646,-0.0363146,-2.34932,0.0211773,-0.0216965,-2.34975,0.0218836,-0.0215192
-2.27352,0.0167588,-0.0218702,-2.34929,0.0212078,-0.0217725,-2.3482,0.0218111,-0.0216006
-2.36998,0.0175079,-0.0202119,-2.34928,0.0212276,-0.0217526,-2.34862,0.0217444,-0.0215534
-2.304,0.0172372,-0.0206599,-2.34927,0.0212261,-0.0217328,-2.34772,0.0216528,-0.0215161
-2.34172,0.0245486,-0.0236358,-2.34927,0.0212139,-0.0217129,-2.3476,0.0216987,-0.0215391
-2.3056,0.0250018,-0.0238488,-2.34926,0.021223,-0.0216504,-2.34675,0.0217738,-0.021524
-2.3358,0.0211505,-0.0216866,-2.34925,0.0212322,-0.0216092,-2.34653,0.0217703,-0.0214868
-2.28484,-0.00566489,-0.0243437,-2.34918,0.021252,-0.0213017,-2.34522,0.021241,-0.0212427
-2.36952,-0.00421205,-0.0228715,-2.34884,0.0212398,-0.0210475,-2.34537,0.02072,-0.0210261
-2.3345,0.0167097,-0.0237285,-2.34854,0.021249,-0.0207933,-2.34487,0.0206488,-0.020831
-2.37652,0.0626008,-0.00873412,-2.34835,0.0212368,-0.0204112,-2.34531,0.0214758,-0.0202146
-2.36343,0.0274638,-0.0197783,-2.34822,0.0212352,-0.0203914,-2.34554,0.0215941,-0.0201865
-2.33331,-0.0107157,-0.0211572,-2.34806,0.0212551,-0.0202437,-2.34514,0.0209673,-0.0200611
-2.29278,0.0027689,-0.0112026,-2.34776,0.0212429,-0.0199574,-2.3438,0.0205914,-0.0196034
-2.37842,0.00133693,-0.0129445,-2.34771,0.0212201,-0.0196818,-2.34444,0.020184,-0.0192002
-2.36158,0.0273704,0.00313923,-2.34768,0.021176,-0.0185115,-2.34476,0.0202846,-0.0176065
-2.33533,0.0370991,0.00331503,-2.34775,0.0210787,-0.0162758,-2.34464,0.0205254,-0.014997
-2.37191,0.049992,-0.0123045,-2.34785,0.0208748,-0.0123463,-2.34528,0.020915,-0.0110923
-2.40101,0.0551472,-0.0399782,-2.34798,0.0205217,-0.007554,-2.34652,0.0212536,-0.00697357
-2.29451,0.0814896,0.042388,-2.3482,0.0200835,-0.00312392,-2.34569,0.0220289,-0.00164486
-2.31564,0.0373517,0.058845,-2.34897,0.0196453,0.00197724,-2.34586,0.0219059,0.00456408
-2.36261,0.0667501,0.0217452,-2.34994,0.0191431,0.00779222,-2.34714,0.0223106,0.0106064
-2.43454,0.0984033,0.0351917,-2.35103,0.0185877,0.0139055,-2.34996,0.0232882,0.0170891
-2.26249,0.0318591,-0.0134677,-2.35234,0.0179897,0.0184314,-2.34949,0.0228735,0.0209134
-2.28672,-0.000105509,-0.0167329,-2.35355,0.0171041,0.0231065,-2.34942,0.0215461,0.0247421
-2.22423,-0.0787348,-0.0560082,-2.35339,0.0168042,0.0263222,-2.34676,0.0192466,0.0262784
-2.22345,-0.0480798,-0.0619477,-2.35281,0.0168667,0.0289839,-2.34372,0.0179612,0.0271224
-2.19661,-0.12232,-0.0184007,-2.35158,0.0175469,0.0333501,-2.33958,0.0158223,0.0304907
-2.24046,-0.0880141,0.0325235,-2.34965,0.0174602,0.0372156,-2.3357,0.0136606,0.0343196
-2.42787,0.191625,0.109348,-2.34879,0.01797,0.0404312,-2.33671,0.0177195,0.0389715
-2.33249,0.068486,0.0493007,-2.34828,0.0182135,0.0423261,-2.33612,0.0189735,0.041035
-2.29708,0.0952552,0.0112845,-2.34734,0.0182227,0.0448387,-2.33441,0.0205081,0.0429024
-2.36788,0.125254,0.0304689,-2.34616,0.0180295,0.0471063,-2.33393,0.0224137,0.044876
-2.30285,-0.000576534,-0.00794995,-2.34474,0.0176125,0.0496402,-2.33192,0.0215452,0.0463027
-2.25388,-0.0578102,0.0461033,-2.34286,0.0169825,0.0525363,-2.32851,0.0193406,0.0491369
-2.34692,-0.00161573,0.105221,-2.34127,0.0163524,0.0543459,-2.32732,0.0183041,0.0520319
-2.27544,0.050808,-0.00779559,-2.33945,0.0161058,0.0542485,-2.3245,0.0187125,0.05074
-2.309,-0.00211582,-0.0818987,-2.33655,0.0161043,0.0509128,-2.32135,0.0182944,0.0448182
-2.44965,0.0612558,0.216543,-2.33506,0.0160282,0.0451058,-2.32246,0.0190791,0.0425618
-2.37747,-0.0674188,0.301115,-2.33539,0.0161438,0.0378925,-2.32387,0.0174624,0.0406638
-2.40078,0.00157094,0.0293173,-2.33607,0.0164087,0.0317125,-2.32608,0.0174042,0.0343805
-2.29581,0.0213178,-0.000845022,-2.33629,0.0161622,0.027972,-2.3257,0.0172408,0.0300103
-2.23233,-0.00302499,-0.075182,-2.33562,0.0145095,0.0259998,-2.32317,0.0152159,0.0259737
-2.20228,-0.0310996,-0.170151,-2.33279,0.0100765,0.0244856,-2.31798,0.00994526,0.0205673
-2.31884,-0.00513512,-0.0459895,-2.32877,0.0028632,0.0198078,-2.31405,0.00257463,0.0146519
-2.31099,-0.0207498,0.0109046,-2.32488,-0.00542598,0.00947328,-2.31018,-0.00601526,0.00444914
-2.47656,0.0567541,0.225988,-2.32407,-0.0143225,-0.00629408,-2.31272,-0.0134784,-0.00657211
-2.33151,0.041516,-0.0314816,-2.32325,-0.0229525,-0.0204422,-2.31229,-0.020836,-0.0209354
-2.39495,0.00907693,-0.147874,-2.322,-0.0313163,-0.0281241,-2.31271,-0.0284343,-0.0310025
-2.33526,-0.0875467,-0.101193,-2.31865,-0.040021,-0.0311082,-2.30989,-0.0381471,-0.0353307
-2.48167,0.0449928,0.00239534,-2.31518,-0.0490986,-0.0328993,-2.30992,-0.0453804,-0.0363315
-2.44715,-0.084921,-0.0542406,-2.31251,-0.0578353,-0.0376304,-2.31005,-0.0547332,-0.0413262
-2.43206,-0.00183427,-0.094126,-2.31032,-0.0656346,-0.0477092,-2.31034,-0.0613184,-0.0522593
-2.4139,0.0203943,-0.0643552,-2.30886,-0.0721875,-0.060856,-2.31098,-0.066106,-0.0653851
-2.57068,0.0454302,-0.0592724,-2.30814,-0.0777177,-0.0733743,-2.31548,-0.0692949,-0.0775308
-2.48251,-0.0728542,-0.0121654,-2.30763,-0.0817672,-0.0847421,-2.31832,-0.0733347,-0.087364
-2.57073,-0.0349295,0.106941,-2.30788,-0.0836755,-0.0942457,-2.32361,-0.0744367,-0.0927914
-2.44925,-0.0421857,-0.128499,-2.30754,-0.0832829,-0.0997972,-2.32579,-0.0734069,-0.098946
-2.46531,-0.126562,-0.184266,-2.3064,-0.0824641,-0.0980942,-2.32746,-0.0736676,-0.0989834
-2.43198,-0.161852,-0.0921618,-2.30457,-0.0833924,-0.09768,-2.32776,-0.076341,-0.0984412
-2.50601,-0.172666,-0.100181,-2.30301,-0.0865258,-0.103817,-2.32979,-0.0813383,-0.104491
-2.50697,-0.1581,-0.106725,-2.30173,-0.0913318,-0.114653,-2.33208,-0.0875833,-0.115154
